X,Y,X_scaled,Y_scaled,Bearing
406,406,373.52000000000004,66.24000000000001,10.056276316706443
411,411,378.12,54.28,8.169132170675548
417,417,383.64000000000004,46.92,6.9727692860264625
427,427,392.84000000000003,23.92,3.484433961734197
435,435,400.20000000000005,-4.6000000000000005,359.3414568224364
441,441,405.72,-20.240000000000002,357.1440747308289
448,448,412.16,-58.88,351.869897645844
450,450,414.0,-76.36,349.5495625362105
452,452,415.84000000000003,-92.92,347.40410124479916
451,451,414.92,-93.84,347.2561493240019
451,451,414.92,-94.76,347.1353474882935
451,451,414.92,-93.84,347.2561493240019
451,451,414.92,-92.92,347.3770664763009
451,451,414.92,-93.84,347.2561493240019
451,451,414.92,-101.2,346.2930389959202
452,452,415.84000000000003,-113.16000000000001,344.77706390702696
452,452,415.84000000000003,-117.76,344.1886290698615
452,452,415.84000000000003,-129.72,342.6748506439011
452,452,415.84000000000003,-135.24,341.98437407939537
452,452,415.84000000000003,-150.88,340.05761541830304
449,449,413.08000000000004,-165.6,338.1546014401315
449,449,413.08000000000004,-174.8,337.0637368350481
446,446,410.32,-195.96,334.4718632874521
443,443,407.56,-206.08,333.1768614715858
438,438,402.96000000000004,-227.24,330.58017760540514
435,435,400.20000000000005,-238.28,329.23033411952156
425,425,391.0,-264.04,325.9690746376871
421,421,387.32,-273.24,324.79843980244925
421,421,387.32,-274.16,324.7076711277492
422,422,388.24,-273.24,324.86244392263194
421,421,387.32,-274.16,324.7076711277492
419,419,385.48,-276.92,324.3073993421933
417,417,383.64000000000004,-285.2,323.37269273464244
410,410,377.2,-299.92,321.51101944340064
408,408,375.36,-302.68,321.1182485372751
402,402,369.84000000000003,-312.8,319.7764223685229
396,396,364.32,-322.0,318.5285161758567
391,391,359.72,-328.44,317.6025622024998
382,382,351.44,-340.40000000000003,315.914216760449
378,378,347.76,-346.84000000000003,315.075888405309
371,371,341.32,-356.96000000000004,313.71690985254236
364,364,334.88,-365.24,312.51698172435863
