X,Y,X_scaled,Y_scaled,Bearing
-219,-219,-201.48000000000002,196.88,135.66158467769415
-219,-219,-201.48000000000002,197.8,135.52805674890018
-220,-220,-202.4,198.72,135.5256346064576
-220,-220,-202.4,198.72,135.5256346064576
-219,-219,-201.48000000000002,198.72,135.39513704250749
-220,-220,-202.4,197.8,135.6585431775636
-219,-219,-201.48000000000002,199.64000000000001,135.26282283323653
-220,-220,-202.4,196.88,135.7920570921624
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,197.8,135.6585431775636
-219,-219,-201.48000000000002,198.72,135.39513704250749
-220,-220,-202.4,198.72,135.5256346064576
-219,-219,-201.48000000000002,197.8,135.52805674890018
-219,-219,-201.48000000000002,197.8,135.52805674890018
-219,-219,-201.48000000000002,198.72,135.39513704250749
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,197.8,135.6585431775636
-219,-219,-201.48000000000002,197.8,135.52805674890018
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,198.72,135.5256346064576
-220,-220,-202.4,197.8,135.6585431775636
-220,-220,-202.4,198.72,135.5256346064576
-219,-219,-201.48000000000002,197.8,135.52805674890018
-217,-217,-199.64000000000001,199.64000000000001,135.0
-214,-214,-196.88,203.32000000000002,134.07807852236118
-208,-208,-191.36,207.0,132.75166685764907
-205,-205,-188.6,211.60000000000002,131.71075732150817
-199,-199,-183.08,217.12,130.13826785619705
-187,-187,-172.04000000000002,227.24,127.12881806316898
-180,-180,-165.6,230.92000000000002,125.64549810036786
-177,-177,-162.84,233.68,124.870727382634
-175,-175,-161.0,235.52,124.35626749616294
-170,-170,-156.4,239.20000000000002,123.17851165939277
-169,-169,-155.48000000000002,241.04000000000002,122.82356041605443
-164,-164,-150.88,243.8,121.75203617430343
-162,-162,-149.04000000000002,243.8,121.43831039186358
-155,-155,-142.6,248.4,119.8590161649231
-146,-146,-134.32,255.76000000000002,117.70755060012232
-141,-141,-129.72,257.6,116.72851943400082
-134,-134,-123.28,262.2,115.1817571498418
-130,-130,-119.60000000000001,263.12,114.44395478041653
-129,-129,-118.68,264.04,114.20283772083616
-126,-126,-115.92,266.8,113.48411529050487
-121,-121,-111.32000000000001,268.64,112.50831331578311
-115,-115,-105.80000000000001,270.48,111.36327383030266
-112,-112,-103.04,273.24,110.66167891168465
-111,-111,-102.12,272.32,110.55604521958347
-112,-112,-103.04,273.24,110.66167891168465
-111,-111,-102.12,273.24,110.4925947698703
-111,-111,-102.12,272.32,110.55604521958347
-102,-102,-93.84,276.0,108.77803322244554
-89,-89,-81.88000000000001,282.44,106.16699428701618
-85,-85,-78.2,285.2,105.33328479305356
-79,-79,-72.68,285.2,104.2968744807562
-76,-76,-69.92,287.96000000000004,103.647949701972
-63,-63,-57.96,290.72,101.275059818854
-55,-55,-50.6,292.56,99.81257222830054
-40,-40,-36.800000000000004,297.16,97.05951053196318
-36,-36,-33.120000000000005,298.08000000000004,96.3401917459099
-30,-30,-27.6,299.0,95.27389595735177
-23,-23,-21.16,301.76,94.01112610101785
-20,-20,-18.400000000000002,301.76,93.4893249057964
-14,-14,-12.88,302.68,92.43664824681014
-11,-11,-10.120000000000001,301.76,91.92078491268897
-3,-3,-2.7600000000000002,305.44,90.5177188568032
-2,-2,-1.84,304.52000000000004,90.34619385046098
0,0,0.0,304.52000000000004,90.0
1,1,0.92,304.52000000000004,89.82690149487985
-1,-1,-0.92,304.52000000000004,90.17309850512017
0,0,0.0,304.52000000000004,90.0
1,1,0.92,304.52000000000004,89.82690149487985
17,17,15.64,306.36,87.07752733197509
26,26,23.92,305.44,85.52212042615035
33,33,30.360000000000003,306.36,84.34051815983753
35,35,32.2,307.28000000000003,84.01778446114834
45,45,41.4,307.28000000000003,82.32671541479401
54,54,49.68,306.36,80.78897345918332
60,60,55.2,306.36,79.78602701492952
72,72,66.24000000000001,307.28000000000003,77.83497012971307
76,76,69.92,306.36,77.14368743247138
83,83,76.36,305.44,75.96375653207353
88,88,80.96000000000001,305.44,75.15454791791618
94,94,86.48,305.44,74.19145681536874
101,101,92.92,304.52000000000004,73.03116787125155
102,102,93.84,304.52000000000004,72.87294677874176
101,101,92.92,303.6,72.98271418375592
102,102,93.84,303.6,72.82409638425325
105,105,96.60000000000001,303.6,72.34987578006988
102,102,93.84,303.6,72.82409638425325
105,105,96.60000000000001,303.6,72.34987578006988
112,112,103.04,301.76,71.1468412355809
121,121,111.32000000000001,300.84000000000003,69.69398512804428
130,130,119.60000000000001,298.08000000000004,68.13763757971354
136,136,125.12,298.08000000000004,67.22962109123779
150,150,138.0,293.48,64.81617841636141
152,152,139.84,293.48,64.5227126633061
157,157,144.44,290.72,63.58018496182141
160,160,147.20000000000002,290.72,63.14557865948141
169,169,155.48000000000002,287.96000000000004,61.63378830719965
171,171,157.32,287.96000000000004,61.35107819200749
174,174,160.08,287.04,60.85192815428696
178,178,163.76000000000002,284.28000000000003,60.055829838868995
181,181,166.52,285.2,59.72058478295505
184,184,169.28,282.44,59.06369712155764
185,185,170.20000000000002,283.36,59.00889464923357
189,189,173.88,280.6,58.214658585635355
